"Tissue","Quantile","Signature","Scale","Value"
"GBM","95%","SBS9","exome",NA
"GBM","5%","SBS10a","genome",NA
"GBM","10%","SBS10a","genome",NA
"GBM","15%","SBS10a","genome",NA
"GBM","20%","SBS10a","genome",NA
"GBM","25%","SBS10a","genome",NA
"GBM","30%","SBS10a","genome",NA
"GBM","35%","SBS10a","genome",NA
"GBM","40%","SBS10a","genome",NA
"GBM","45%","SBS10a","genome",NA
"GBM","50%","SBS10a","genome",NA
"GBM","55%","SBS10a","genome",NA
"GBM","60%","SBS10a","genome",NA
"GBM","65%","SBS10a","genome",NA
"GBM","70%","SBS10a","genome",NA
"GBM","75%","SBS10a","genome",NA
"GBM","80%","SBS10a","genome",NA
"GBM","85%","SBS10a","genome",NA
"GBM","90%","SBS10a","genome",NA
"GBM","95%","SBS10a","genome",NA
"GBM","5%","SBS10a","exome",55.001
"GBM","10%","SBS10a","exome",56.142
"GBM","15%","SBS10a","exome",57.283
"GBM","20%","SBS10a","exome",58.424
"GBM","25%","SBS10a","exome",59.565
"GBM","30%","SBS10a","exome",60.706
"GBM","35%","SBS10a","exome",61.847
"GBM","40%","SBS10a","exome",62.988
"GBM","45%","SBS10a","exome",64.129
"GBM","50%","SBS10a","exome",65.27
"GBM","55%","SBS10a","exome",66.411
"GBM","60%","SBS10a","exome",67.552
"GBM","65%","SBS10a","exome",68.693
"GBM","70%","SBS10a","exome",69.834
"GBM","75%","SBS10a","exome",70.975
"GBM","80%","SBS10a","exome",72.116
"GBM","85%","SBS10a","exome",73.257
"GBM","90%","SBS10a","exome",74.398
"GBM","95%","SBS10a","exome",75.539
"GBM","5%","SBS10b","genome",NA
"GBM","10%","SBS10b","genome",NA
"GBM","15%","SBS10b","genome",NA
"GBM","20%","SBS10b","genome",NA
"GBM","25%","SBS10b","genome",NA
"GBM","30%","SBS10b","genome",NA
"GBM","35%","SBS10b","genome",NA
"GBM","40%","SBS10b","genome",NA
"GBM","45%","SBS10b","genome",NA
"GBM","50%","SBS10b","genome",NA
"GBM","55%","SBS10b","genome",NA
"GBM","60%","SBS10b","genome",NA
"GBM","65%","SBS10b","genome",NA
"GBM","70%","SBS10b","genome",NA
"GBM","75%","SBS10b","genome",NA
"GBM","80%","SBS10b","genome",NA
"GBM","85%","SBS10b","genome",NA
"GBM","90%","SBS10b","genome",NA
"GBM","95%","SBS10b","genome",NA
"GBM","5%","SBS10b","exome",38.394
"GBM","10%","SBS10b","exome",42.108
"GBM","15%","SBS10b","exome",45.822
"GBM","20%","SBS10b","exome",49.536
"GBM","25%","SBS10b","exome",53.25
"GBM","30%","SBS10b","exome",56.964
"GBM","35%","SBS10b","exome",60.678
"GBM","40%","SBS10b","exome",64.392
"GBM","45%","SBS10b","exome",68.106
"GBM","50%","SBS10b","exome",71.82
"GBM","55%","SBS10b","exome",75.534
"GBM","60%","SBS10b","exome",79.248
"GBM","65%","SBS10b","exome",82.962
"GBM","70%","SBS10b","exome",86.676
"GBM","75%","SBS10b","exome",90.39
"GBM","80%","SBS10b","exome",94.104
"GBM","85%","SBS10b","exome",97.818
"GBM","90%","SBS10b","exome",101.532
"GBM","95%","SBS10b","exome",105.246
"GBM","5%","SBS11","genome",4271.02
"GBM","10%","SBS11","genome",4271.02
"GBM","15%","SBS11","genome",4271.02
"GBM","20%","SBS11","genome",4271.02
"GBM","25%","SBS11","genome",4271.02
"GBM","30%","SBS11","genome",4271.02
"GBM","35%","SBS11","genome",4271.02
"GBM","40%","SBS11","genome",4271.02
"GBM","45%","SBS11","genome",4271.02
"GBM","50%","SBS11","genome",4271.02
"GBM","55%","SBS11","genome",4271.02
"GBM","60%","SBS11","genome",4271.02
"GBM","65%","SBS11","genome",4271.02
"GBM","70%","SBS11","genome",4271.02
"GBM","75%","SBS11","genome",4271.02
"GBM","80%","SBS11","genome",4271.02
"GBM","85%","SBS11","genome",4271.02
"GBM","90%","SBS11","genome",4271.02
"GBM","95%","SBS11","genome",4271.02
"GBM","5%","SBS11","exome",1.48
"GBM","10%","SBS11","exome",1.48
"GBM","15%","SBS11","exome",1.48
"GBM","20%","SBS11","exome",1.48
"GBM","25%","SBS11","exome",1.48
"GBM","30%","SBS11","exome",1.48
"GBM","35%","SBS11","exome",1.48
"GBM","40%","SBS11","exome",1.48
"GBM","45%","SBS11","exome",1.48
"GBM","50%","SBS11","exome",1.48
"GBM","55%","SBS11","exome",1.48
"GBM","60%","SBS11","exome",1.48
"GBM","65%","SBS11","exome",1.48
"GBM","70%","SBS11","exome",1.48
"GBM","75%","SBS11","exome",1.48
"GBM","80%","SBS11","exome",1.48
"GBM","85%","SBS11","exome",1.48
"GBM","90%","SBS11","exome",1.48
"GBM","95%","SBS11","exome",1.48
"GBM","5%","SBS12","genome",NA
"GBM","10%","SBS12","genome",NA
"GBM","15%","SBS12","genome",NA
"GBM","20%","SBS12","genome",NA
"GBM","25%","SBS12","genome",NA
"GBM","30%","SBS12","genome",NA
"GBM","35%","SBS12","genome",NA
"GBM","40%","SBS12","genome",NA
"GBM","45%","SBS12","genome",NA
"GBM","50%","SBS12","genome",NA
"GBM","55%","SBS12","genome",NA
"GBM","60%","SBS12","genome",NA
"GBM","65%","SBS12","genome",NA
"GBM","70%","SBS12","genome",NA
"GBM","75%","SBS12","genome",NA
"GBM","80%","SBS12","genome",NA
"GBM","85%","SBS12","genome",NA
"GBM","90%","SBS12","genome",NA
"GBM","95%","SBS12","genome",NA
"GBM","5%","SBS12","exome",NA
"GBM","10%","SBS12","exome",NA
"GBM","15%","SBS12","exome",NA
"GBM","20%","SBS12","exome",NA
"GBM","25%","SBS12","exome",NA
"GBM","30%","SBS12","exome",NA
"GBM","35%","SBS12","exome",NA
"GBM","40%","SBS12","exome",NA
"GBM","45%","SBS12","exome",NA
"GBM","50%","SBS12","exome",NA
"GBM","55%","SBS12","exome",NA
"GBM","60%","SBS12","exome",NA
"GBM","65%","SBS12","exome",NA
"GBM","70%","SBS12","exome",NA
"GBM","75%","SBS12","exome",NA
"GBM","80%","SBS12","exome",NA
"GBM","85%","SBS12","exome",NA
"GBM","90%","SBS12","exome",NA
"GBM","95%","SBS12","exome",NA
"GBM","5%","SBS13","genome",NA
"GBM","10%","SBS13","genome",NA
"GBM","15%","SBS13","genome",NA
"GBM","20%","SBS13","genome",NA
"GBM","25%","SBS13","genome",NA
"GBM","30%","SBS13","genome",NA
"GBM","35%","SBS13","genome",NA
"GBM","40%","SBS13","genome",NA
"GBM","45%","SBS13","genome",NA
"GBM","50%","SBS13","genome",NA
"GBM","55%","SBS13","genome",NA
"GBM","60%","SBS13","genome",NA
"GBM","65%","SBS13","genome",NA
"GBM","70%","SBS13","genome",NA
"GBM","75%","SBS13","genome",NA
"GBM","80%","SBS13","genome",NA
"GBM","85%","SBS13","genome",NA
"GBM","90%","SBS13","genome",NA
"GBM","95%","SBS13","genome",NA
"GBM","5%","SBS13","exome",0.42
"GBM","10%","SBS13","exome",0.42
"GBM","15%","SBS13","exome",0.42
"GBM","20%","SBS13","exome",0.42
"GBM","25%","SBS13","exome",0.42
"GBM","30%","SBS13","exome",0.42
"GBM","35%","SBS13","exome",0.42
"GBM","40%","SBS13","exome",0.42
"GBM","45%","SBS13","exome",0.42
"GBM","50%","SBS13","exome",0.42
"GBM","55%","SBS13","exome",0.42
"GBM","60%","SBS13","exome",0.42
"GBM","65%","SBS13","exome",0.42
"GBM","70%","SBS13","exome",0.42
"GBM","75%","SBS13","exome",0.42
"GBM","80%","SBS13","exome",0.42
"GBM","85%","SBS13","exome",0.42
"GBM","90%","SBS13","exome",0.42
"GBM","95%","SBS13","exome",0.42
"GBM","5%","SBS14","genome",NA
"GBM","10%","SBS14","genome",NA
"GBM","15%","SBS14","genome",NA
"GBM","20%","SBS14","genome",NA
"GBM","25%","SBS14","genome",NA
"GBM","30%","SBS14","genome",NA
"GBM","35%","SBS14","genome",NA
"GBM","40%","SBS14","genome",NA
"GBM","45%","SBS14","genome",NA
"GBM","50%","SBS14","genome",NA
"GBM","55%","SBS14","genome",NA
"GBM","60%","SBS14","genome",NA
"GBM","65%","SBS14","genome",NA
"GBM","70%","SBS14","genome",NA
"GBM","75%","SBS14","genome",NA
"GBM","80%","SBS14","genome",NA
"GBM","85%","SBS14","genome",NA
"GBM","90%","SBS14","genome",NA
"GBM","95%","SBS14","genome",NA
"GBM","5%","SBS14","exome",NA
"GBM","10%","SBS14","exome",NA
"GBM","15%","SBS14","exome",NA
"GBM","20%","SBS14","exome",NA
"GBM","25%","SBS14","exome",NA
"GBM","30%","SBS14","exome",NA
"GBM","35%","SBS14","exome",NA
"GBM","40%","SBS14","exome",NA
"GBM","45%","SBS14","exome",NA
"GBM","50%","SBS14","exome",NA
"GBM","55%","SBS14","exome",NA
"GBM","60%","SBS14","exome",NA
"GBM","65%","SBS14","exome",NA
"GBM","70%","SBS14","exome",NA
"GBM","75%","SBS14","exome",NA
"GBM","80%","SBS14","exome",NA
"GBM","85%","SBS14","exome",NA
"GBM","90%","SBS14","exome",NA
"GBM","95%","SBS14","exome",NA
"GBM","5%","SBS15","genome",31.16
"GBM","10%","SBS15","genome",31.16
"GBM","15%","SBS15","genome",31.16
"GBM","20%","SBS15","genome",31.16
"GBM","25%","SBS15","genome",31.16
"GBM","30%","SBS15","genome",31.16
"GBM","35%","SBS15","genome",31.16
"GBM","40%","SBS15","genome",31.16
"GBM","45%","SBS15","genome",31.16
"GBM","50%","SBS15","genome",31.16
"GBM","55%","SBS15","genome",31.16
"GBM","60%","SBS15","genome",31.16
"GBM","65%","SBS15","genome",31.16
"GBM","70%","SBS15","genome",31.16
"GBM","75%","SBS15","genome",31.16
"GBM","80%","SBS15","genome",31.16
"GBM","85%","SBS15","genome",31.16
"GBM","90%","SBS15","genome",31.16
"GBM","95%","SBS15","genome",31.16
"GBM","5%","SBS15","exome",2.864
"GBM","10%","SBS15","exome",5.268
"GBM","15%","SBS15","exome",7.672
"GBM","20%","SBS15","exome",10.076
"GBM","25%","SBS15","exome",12.48
"GBM","30%","SBS15","exome",14.884
"GBM","35%","SBS15","exome",17.288
"GBM","40%","SBS15","exome",19.692
"GBM","45%","SBS15","exome",22.096
"GBM","50%","SBS15","exome",24.5
"GBM","55%","SBS15","exome",28.542
"GBM","60%","SBS15","exome",32.584
"GBM","65%","SBS15","exome",36.626
"GBM","70%","SBS15","exome",40.668
"GBM","75%","SBS15","exome",44.71
"GBM","80%","SBS15","exome",48.752
"GBM","85%","SBS15","exome",52.794
"GBM","90%","SBS15","exome",56.836
"GBM","95%","SBS15","exome",60.878
"GBM","5%","SBS16","genome",NA
"GBM","10%","SBS16","genome",NA
"GBM","15%","SBS16","genome",NA
"GBM","20%","SBS16","genome",NA
"GBM","25%","SBS16","genome",NA
"GBM","30%","SBS16","genome",NA
"GBM","35%","SBS16","genome",NA
"GBM","40%","SBS16","genome",NA
"GBM","45%","SBS16","genome",NA
"GBM","50%","SBS16","genome",NA
"GBM","55%","SBS16","genome",NA
"GBM","60%","SBS16","genome",NA
"GBM","65%","SBS16","genome",NA
"GBM","70%","SBS16","genome",NA
"GBM","75%","SBS16","genome",NA
"GBM","80%","SBS16","genome",NA
"GBM","85%","SBS16","genome",NA
"GBM","90%","SBS16","genome",NA
"GBM","95%","SBS16","genome",NA
"GBM","5%","SBS16","exome",NA
"GBM","10%","SBS16","exome",NA
"GBM","15%","SBS16","exome",NA
"GBM","20%","SBS16","exome",NA
"GBM","25%","SBS16","exome",NA
"GBM","30%","SBS16","exome",NA
"GBM","35%","SBS16","exome",NA
"GBM","40%","SBS16","exome",NA
"GBM","45%","SBS16","exome",NA
"GBM","50%","SBS16","exome",NA
"GBM","55%","SBS16","exome",NA
"GBM","60%","SBS16","exome",NA
"GBM","65%","SBS16","exome",NA
"GBM","70%","SBS16","exome",NA
"GBM","75%","SBS16","exome",NA
"GBM","80%","SBS16","exome",NA
"GBM","85%","SBS16","exome",NA
"GBM","90%","SBS16","exome",NA
"GBM","95%","SBS16","exome",NA
"GBM","5%","SBS17a","genome",NA
"GBM","10%","SBS17a","genome",NA
"GBM","15%","SBS17a","genome",NA
"GBM","20%","SBS17a","genome",NA
"GBM","25%","SBS17a","genome",NA
"GBM","30%","SBS17a","genome",NA
"GBM","35%","SBS17a","genome",NA
"GBM","40%","SBS17a","genome",NA
"GBM","45%","SBS17a","genome",NA
"GBM","50%","SBS17a","genome",NA
"GBM","55%","SBS17a","genome",NA
"GBM","60%","SBS17a","genome",NA
"GBM","65%","SBS17a","genome",NA
"GBM","70%","SBS17a","genome",NA
"GBM","75%","SBS17a","genome",NA
"GBM","80%","SBS17a","genome",NA
"GBM","85%","SBS17a","genome",NA
"GBM","90%","SBS17a","genome",NA
"GBM","95%","SBS17a","genome",NA
"GBM","5%","SBS17a","exome",NA
"GBM","10%","SBS17a","exome",NA
"GBM","15%","SBS17a","exome",NA
"GBM","20%","SBS17a","exome",NA
"GBM","25%","SBS17a","exome",NA
"GBM","30%","SBS17a","exome",NA
"GBM","35%","SBS17a","exome",NA
"GBM","40%","SBS17a","exome",NA
"GBM","45%","SBS17a","exome",NA
"GBM","50%","SBS17a","exome",NA
"GBM","55%","SBS17a","exome",NA
"GBM","60%","SBS17a","exome",NA
"GBM","65%","SBS17a","exome",NA
"GBM","70%","SBS17a","exome",NA
"GBM","75%","SBS17a","exome",NA
"GBM","80%","SBS17a","exome",NA
"GBM","85%","SBS17a","exome",NA
"GBM","90%","SBS17a","exome",NA
"GBM","95%","SBS17a","exome",NA
"GBM","5%","SBS17b","genome",NA
"GBM","10%","SBS17b","genome",NA
"GBM","15%","SBS17b","genome",NA
"GBM","20%","SBS17b","genome",NA
"GBM","25%","SBS17b","genome",NA
"GBM","30%","SBS17b","genome",NA
"GBM","35%","SBS17b","genome",NA
"GBM","40%","SBS17b","genome",NA
"GBM","45%","SBS17b","genome",NA
"GBM","50%","SBS17b","genome",NA
"GBM","55%","SBS17b","genome",NA
"GBM","60%","SBS17b","genome",NA
"GBM","65%","SBS17b","genome",NA
"GBM","70%","SBS17b","genome",NA
"GBM","75%","SBS17b","genome",NA
"GBM","80%","SBS17b","genome",NA
"GBM","85%","SBS17b","genome",NA
"GBM","90%","SBS17b","genome",NA
"GBM","95%","SBS17b","genome",NA
"GBM","5%","SBS17b","exome",NA
"GBM","10%","SBS17b","exome",NA
"GBM","15%","SBS17b","exome",NA
"GBM","20%","SBS17b","exome",NA
"GBM","25%","SBS17b","exome",NA
"GBM","30%","SBS17b","exome",NA
"GBM","35%","SBS17b","exome",NA
"GBM","40%","SBS17b","exome",NA
"GBM","45%","SBS17b","exome",NA
"GBM","50%","SBS17b","exome",NA
"GBM","55%","SBS17b","exome",NA
"GBM","60%","SBS17b","exome",NA
"GBM","65%","SBS17b","exome",NA
"GBM","70%","SBS17b","exome",NA
"GBM","75%","SBS17b","exome",NA
"GBM","80%","SBS17b","exome",NA
"GBM","85%","SBS17b","exome",NA
"GBM","90%","SBS17b","exome",NA
"GBM","95%","SBS17b","exome",NA
"GBM","5%","SBS18","genome",NA
"GBM","10%","SBS18","genome",NA
"GBM","15%","SBS18","genome",NA
"GBM","20%","SBS18","genome",NA
"GBM","25%","SBS18","genome",NA
"GBM","30%","SBS18","genome",NA
"GBM","35%","SBS18","genome",NA
"GBM","40%","SBS18","genome",NA
"GBM","45%","SBS18","genome",NA
"GBM","50%","SBS18","genome",NA
"GBM","55%","SBS18","genome",NA
"GBM","60%","SBS18","genome",NA
"GBM","65%","SBS18","genome",NA
"GBM","70%","SBS18","genome",NA
"GBM","75%","SBS18","genome",NA
"GBM","80%","SBS18","genome",NA
"GBM","85%","SBS18","genome",NA
"GBM","90%","SBS18","genome",NA
"GBM","95%","SBS18","genome",NA
"GBM","5%","SBS18","exome",NA
"GBM","10%","SBS18","exome",NA
"GBM","15%","SBS18","exome",NA
"GBM","20%","SBS18","exome",NA
"GBM","25%","SBS18","exome",NA
"GBM","30%","SBS18","exome",NA
"GBM","35%","SBS18","exome",NA
"GBM","40%","SBS18","exome",NA
"GBM","45%","SBS18","exome",NA
"GBM","50%","SBS18","exome",NA
"GBM","55%","SBS18","exome",NA
"GBM","60%","SBS18","exome",NA
"GBM","65%","SBS18","exome",NA
"GBM","70%","SBS18","exome",NA
"GBM","75%","SBS18","exome",NA
"GBM","80%","SBS18","exome",NA
"GBM","85%","SBS18","exome",NA
"GBM","90%","SBS18","exome",NA
"GBM","95%","SBS18","exome",NA
"GBM","5%","SBS19","genome",NA
"GBM","10%","SBS19","genome",NA
"GBM","15%","SBS19","genome",NA
"GBM","20%","SBS19","genome",NA
"GBM","25%","SBS19","genome",NA
"GBM","30%","SBS19","genome",NA
"GBM","35%","SBS19","genome",NA
"GBM","40%","SBS19","genome",NA
"GBM","45%","SBS19","genome",NA
"GBM","50%","SBS19","genome",NA
"GBM","55%","SBS19","genome",NA
"GBM","60%","SBS19","genome",NA
"GBM","65%","SBS19","genome",NA
"GBM","70%","SBS19","genome",NA
"GBM","75%","SBS19","genome",NA
"GBM","80%","SBS19","genome",NA
"GBM","85%","SBS19","genome",NA
"GBM","90%","SBS19","genome",NA
"GBM","95%","SBS19","genome",NA
"GBM","5%","SBS19","exome",NA
"GBM","10%","SBS19","exome",NA
"GBM","15%","SBS19","exome",NA
"GBM","20%","SBS19","exome",NA
"GBM","25%","SBS19","exome",NA
"GBM","30%","SBS19","exome",NA
"GBM","35%","SBS19","exome",NA
"GBM","40%","SBS19","exome",NA
"GBM","45%","SBS19","exome",NA
"GBM","50%","SBS19","exome",NA
"GBM","55%","SBS19","exome",NA
"GBM","60%","SBS19","exome",NA
"GBM","65%","SBS19","exome",NA
"GBM","70%","SBS19","exome",NA
"GBM","75%","SBS19","exome",NA
"GBM","80%","SBS19","exome",NA
"GBM","85%","SBS19","exome",NA
"GBM","90%","SBS19","exome",NA
"GBM","95%","SBS19","exome",NA
"GBM","5%","SBS20","genome",NA
"GBM","10%","SBS20","genome",NA
"GBM","15%","SBS20","genome",NA
"GBM","20%","SBS20","genome",NA
"GBM","25%","SBS20","genome",NA
"GBM","30%","SBS20","genome",NA
"GBM","35%","SBS20","genome",NA
"GBM","40%","SBS20","genome",NA
"GBM","45%","SBS20","genome",NA
"GBM","50%","SBS20","genome",NA
"GBM","55%","SBS20","genome",NA
"GBM","60%","SBS20","genome",NA
"GBM","65%","SBS20","genome",NA
"GBM","70%","SBS20","genome",NA
"GBM","75%","SBS20","genome",NA
"GBM","80%","SBS20","genome",NA
"GBM","85%","SBS20","genome",NA
"GBM","90%","SBS20","genome",NA
"GBM","95%","SBS20","genome",NA
"GBM","5%","SBS20","exome",NA
"GBM","10%","SBS20","exome",NA
"GBM","15%","SBS20","exome",NA
"GBM","20%","SBS20","exome",NA
"GBM","25%","SBS20","exome",NA
"GBM","30%","SBS20","exome",NA
"GBM","35%","SBS20","exome",NA
"GBM","40%","SBS20","exome",NA
"GBM","45%","SBS20","exome",NA
"GBM","50%","SBS20","exome",NA
"GBM","55%","SBS20","exome",NA
"GBM","60%","SBS20","exome",NA
"GBM","65%","SBS20","exome",NA
"GBM","70%","SBS20","exome",NA
"GBM","75%","SBS20","exome",NA
"GBM","80%","SBS20","exome",NA
"GBM","85%","SBS20","exome",NA
"GBM","90%","SBS20","exome",NA
"GBM","95%","SBS20","exome",NA
"GBM","5%","SBS21","genome",NA
"GBM","10%","SBS21","genome",NA
"GBM","15%","SBS21","genome",NA
"GBM","20%","SBS21","genome",NA
"GBM","25%","SBS21","genome",NA
"GBM","30%","SBS21","genome",NA
"GBM","35%","SBS21","genome",NA
"GBM","40%","SBS21","genome",NA
"GBM","45%","SBS21","genome",NA
"GBM","50%","SBS21","genome",NA
"GBM","55%","SBS21","genome",NA
"GBM","60%","SBS21","genome",NA
"GBM","65%","SBS21","genome",NA
"GBM","70%","SBS21","genome",NA
"GBM","75%","SBS21","genome",NA
"GBM","80%","SBS21","genome",NA
"GBM","85%","SBS21","genome",NA
"GBM","90%","SBS21","genome",NA
"GBM","95%","SBS21","genome",NA
"GBM","5%","SBS21","exome",NA
"GBM","10%","SBS21","exome",NA
"GBM","15%","SBS21","exome",NA
"GBM","20%","SBS21","exome",NA
"GBM","25%","SBS21","exome",NA
"GBM","30%","SBS21","exome",NA
"GBM","35%","SBS21","exome",NA
"GBM","40%","SBS21","exome",NA
"GBM","45%","SBS21","exome",NA
"GBM","50%","SBS21","exome",NA
"GBM","55%","SBS21","exome",NA
"GBM","60%","SBS21","exome",NA
"GBM","65%","SBS21","exome",NA
"GBM","70%","SBS21","exome",NA
"GBM","75%","SBS21","exome",NA
"GBM","80%","SBS21","exome",NA
"GBM","85%","SBS21","exome",NA
"GBM","90%","SBS21","exome",NA
"GBM","95%","SBS21","exome",NA
"GBM","5%","SBS22","genome",NA
"GBM","10%","SBS22","genome",NA
"GBM","15%","SBS22","genome",NA
"GBM","20%","SBS22","genome",NA
"GBM","25%","SBS22","genome",NA
"GBM","30%","SBS22","genome",NA
"GBM","35%","SBS22","genome",NA
"GBM","40%","SBS22","genome",NA
"GBM","45%","SBS22","genome",NA
"GBM","50%","SBS22","genome",NA
"GBM","55%","SBS22","genome",NA
"GBM","60%","SBS22","genome",NA
"GBM","65%","SBS22","genome",NA
"GBM","70%","SBS22","genome",NA
"GBM","75%","SBS22","genome",NA
"GBM","80%","SBS22","genome",NA
"GBM","85%","SBS22","genome",NA
"GBM","90%","SBS22","genome",NA
"GBM","95%","SBS22","genome",NA
"GBM","5%","SBS22","exome",NA
"GBM","10%","SBS22","exome",NA
"GBM","15%","SBS22","exome",NA
"GBM","20%","SBS22","exome",NA
"GBM","25%","SBS22","exome",NA
"GBM","30%","SBS22","exome",NA
"GBM","35%","SBS22","exome",NA
"GBM","40%","SBS22","exome",NA
"GBM","45%","SBS22","exome",NA
"GBM","50%","SBS22","exome",NA
"GBM","55%","SBS22","exome",NA
"GBM","60%","SBS22","exome",NA
"GBM","65%","SBS22","exome",NA
"GBM","70%","SBS22","exome",NA
"GBM","75%","SBS22","exome",NA
"GBM","80%","SBS22","exome",NA
"GBM","85%","SBS22","exome",NA
"GBM","90%","SBS22","exome",NA
"GBM","95%","SBS22","exome",NA
"GBM","5%","SBS23","genome",NA
"GBM","10%","SBS23","genome",NA
"GBM","15%","SBS23","genome",NA
"GBM","20%","SBS23","genome",NA
"GBM","25%","SBS23","genome",NA
"GBM","30%","SBS23","genome",NA
"GBM","35%","SBS23","genome",NA
"GBM","40%","SBS23","genome",NA
"GBM","45%","SBS23","genome",NA
"GBM","50%","SBS23","genome",NA
"GBM","55%","SBS23","genome",NA
"GBM","60%","SBS23","genome",NA
"GBM","65%","SBS23","genome",NA
"GBM","70%","SBS23","genome",NA
"GBM","75%","SBS23","genome",NA
"GBM","80%","SBS23","genome",NA
"GBM","85%","SBS23","genome",NA
"GBM","90%","SBS23","genome",NA
"GBM","95%","SBS23","genome",NA
"GBM","5%","SBS23","exome",NA
"GBM","10%","SBS23","exome",NA
"GBM","15%","SBS23","exome",NA
"GBM","20%","SBS23","exome",NA
"GBM","25%","SBS23","exome",NA
"GBM","30%","SBS23","exome",NA
"GBM","35%","SBS23","exome",NA
"GBM","40%","SBS23","exome",NA
"GBM","45%","SBS23","exome",NA
"GBM","50%","SBS23","exome",NA
"GBM","55%","SBS23","exome",NA
"GBM","60%","SBS23","exome",NA
"GBM","65%","SBS23","exome",NA
"GBM","70%","SBS23","exome",NA
"GBM","75%","SBS23","exome",NA
"GBM","80%","SBS23","exome",NA
"GBM","85%","SBS23","exome",NA
"GBM","90%","SBS23","exome",NA
"GBM","95%","SBS23","exome",NA
"GBM","5%","SBS24","genome",NA
"GBM","10%","SBS24","genome",NA
"GBM","15%","SBS24","genome",NA
"GBM","20%","SBS24","genome",NA
"GBM","25%","SBS24","genome",NA
"GBM","30%","SBS24","genome",NA
"GBM","35%","SBS24","genome",NA
"GBM","40%","SBS24","genome",NA
"GBM","45%","SBS24","genome",NA
"GBM","50%","SBS24","genome",NA
"GBM","55%","SBS24","genome",NA
"GBM","60%","SBS24","genome",NA
"GBM","65%","SBS24","genome",NA
"GBM","70%","SBS24","genome",NA
"GBM","75%","SBS24","genome",NA
"GBM","80%","SBS24","genome",NA
"GBM","85%","SBS24","genome",NA
"GBM","90%","SBS24","genome",NA
"GBM","95%","SBS24","genome",NA
"GBM","5%","SBS24","exome",NA
"GBM","10%","SBS24","exome",NA
"GBM","15%","SBS24","exome",NA
"GBM","20%","SBS24","exome",NA
"GBM","25%","SBS24","exome",NA
"GBM","30%","SBS24","exome",NA
"GBM","35%","SBS24","exome",NA
"GBM","40%","SBS24","exome",NA
"GBM","45%","SBS24","exome",NA
"GBM","50%","SBS24","exome",NA
"GBM","55%","SBS24","exome",NA
"GBM","60%","SBS24","exome",NA
"GBM","65%","SBS24","exome",NA
"GBM","70%","SBS24","exome",NA
"GBM","75%","SBS24","exome",NA
"GBM","80%","SBS24","exome",NA
"GBM","85%","SBS24","exome",NA
"GBM","90%","SBS24","exome",NA
"GBM","95%","SBS24","exome",NA
"GBM","5%","SBS26","genome",NA
"GBM","10%","SBS26","genome",NA
"GBM","15%","SBS26","genome",NA
"GBM","20%","SBS26","genome",NA
"GBM","25%","SBS26","genome",NA
"GBM","30%","SBS26","genome",NA
"GBM","35%","SBS26","genome",NA
"GBM","40%","SBS26","genome",NA
"GBM","45%","SBS26","genome",NA
"GBM","50%","SBS26","genome",NA
"GBM","55%","SBS26","genome",NA
"GBM","60%","SBS26","genome",NA
"GBM","65%","SBS26","genome",NA
"GBM","70%","SBS26","genome",NA
"GBM","75%","SBS26","genome",NA
"GBM","80%","SBS26","genome",NA
"GBM","85%","SBS26","genome",NA
"GBM","90%","SBS26","genome",NA
"GBM","95%","SBS26","genome",NA
"GBM","5%","SBS26","exome",NA
"GBM","10%","SBS26","exome",NA
"GBM","15%","SBS26","exome",NA
"GBM","20%","SBS26","exome",NA
"GBM","25%","SBS26","exome",NA
"GBM","30%","SBS26","exome",NA
"GBM","35%","SBS26","exome",NA
"GBM","40%","SBS26","exome",NA
"GBM","45%","SBS26","exome",NA
"GBM","50%","SBS26","exome",NA
"GBM","55%","SBS26","exome",NA
"GBM","60%","SBS26","exome",NA
"GBM","65%","SBS26","exome",NA
"GBM","70%","SBS26","exome",NA
"GBM","75%","SBS26","exome",NA
"GBM","80%","SBS26","exome",NA
"GBM","85%","SBS26","exome",NA
"GBM","90%","SBS26","exome",NA
"GBM","95%","SBS26","exome",NA
"GBM","5%","SBS28","genome",NA
"GBM","10%","SBS28","genome",NA
"GBM","15%","SBS28","genome",NA
"GBM","20%","SBS28","genome",NA
"GBM","25%","SBS28","genome",NA
"GBM","30%","SBS28","genome",NA
"GBM","35%","SBS28","genome",NA
"GBM","40%","SBS28","genome",NA
"GBM","45%","SBS28","genome",NA
"GBM","50%","SBS28","genome",NA
"GBM","55%","SBS28","genome",NA
"GBM","60%","SBS28","genome",NA
"GBM","65%","SBS28","genome",NA
"GBM","70%","SBS28","genome",NA
"GBM","75%","SBS28","genome",NA
"GBM","80%","SBS28","genome",NA
"GBM","85%","SBS28","genome",NA
"GBM","90%","SBS28","genome",NA
"GBM","95%","SBS28","genome",NA
"GBM","5%","SBS28","exome",NA
"GBM","10%","SBS28","exome",NA
"GBM","15%","SBS28","exome",NA
"GBM","20%","SBS28","exome",NA
"GBM","25%","SBS28","exome",NA
"GBM","30%","SBS28","exome",NA
"GBM","35%","SBS28","exome",NA
"GBM","40%","SBS28","exome",NA
"GBM","45%","SBS28","exome",NA
"GBM","50%","SBS28","exome",NA
"GBM","55%","SBS28","exome",NA
"GBM","60%","SBS28","exome",NA
"GBM","65%","SBS28","exome",NA
"GBM","70%","SBS28","exome",NA
"GBM","75%","SBS28","exome",NA
